"LATITUDE,N,32,10","LONGITUDE,N,32,10","BRIGHTNESS,N,32,10","SCAN,N,32,10","TRACK,N,32,10","ACQ_DATE,D","ACQ_TIME,C,4","SATELLITE,C,1","CONFIDENCE,N,6,0","VERSION,C,6","BRIGHT_T31,N,32,10","FRP,N,32,10","DAYNIGHT,C,1"
44.3728600000,-115.7868000000,339.7600000000,1.0800000000,1.0400000000,10/04/24,0442,T,100,6.1NRT,289.0000000000,51.7100000000,N
44.3707400000,-115.7998800000,328.0300000000,1.0800000000,1.0400000000,10/04/24,0442,T,100,6.1NRT,288.3700000000,32.7200000000,N
44.3685600000,-115.8133000000,321.3200000000,1.0800000000,1.0400000000,10/04/24,0442,T,100,6.1NRT,286.8400000000,24.9800000000,N
44.3663900000,-115.8266300000,300.6600000000,1.0800000000,1.0400000000,10/04/24,0442,T,32,6.1NRT,282.1100000000,8.0000000000,N
44.3819200000,-115.7890400000,336.6500000000,1.0800000000,1.0400000000,10/04/24,0442,T,100,6.1NRT,286.8000000000,45.9700000000,N
44.3797500000,-115.8024500000,320.7100000000,1.0800000000,1.0400000000,10/04/24,0442,T,100,6.1NRT,284.5400000000,23.8100000000,N
44.5084200000,-115.6993900000,308.3700000000,1.0700000000,1.0300000000,10/04/24,0442,T,74,6.1NRT,278.6100000000,13.6200000000,N
44.5063700000,-115.7121900000,316.6500000000,1.0700000000,1.0300000000,10/04/24,0442,T,94,6.1NRT,279.4200000000,21.1000000000,N
44.5173300000,-115.7023100000,335.5000000000,1.0700000000,1.0300000000,10/04/24,0442,T,100,6.1NRT,280.6300000000,43.9000000000,N
44.5153200000,-115.7148400000,322.1900000000,1.0700000000,1.0300000000,10/04/24,0442,T,100,6.1NRT,279.9400000000,25.8400000000,N
44.8195600000,-114.9583200000,306.0800000000,1.0200000000,1.0100000000,10/04/24,0442,T,67,6.1NRT,281.1000000000,11.0600000000,N
44.8073400000,-115.0984200000,311.1000000000,1.0300000000,1.0100000000,10/04/24,0442,T,49,6.1NRT,281.6500000000,13.1000000000,N
44.8054100000,-115.1110000000,310.5100000000,1.0300000000,1.0100000000,10/04/24,0442,T,57,6.1NRT,282.1600000000,12.7800000000,N
44.8161600000,-115.1008600000,314.7700000000,1.0300000000,1.0100000000,10/04/24,0442,T,68,6.1NRT,282.1700000000,16.2300000000,N
44.8141900000,-115.1138400000,327.7700000000,1.0300000000,1.0100000000,10/04/24,0442,T,100,6.1NRT,284.7100000000,30.3800000000,N
44.8122300000,-115.1266500000,307.5800000000,1.0300000000,1.0100000000,10/04/24,0442,T,67,6.1NRT,281.1000000000,11.2700000000,N
44.9965500000,-114.3950700000,305.0000000000,1.0100000000,1.0000000000,10/04/24,0442,T,63,6.1NRT,279.4500000000,10.3500000000,N
45.0370800000,-114.5035700000,322.0100000000,1.0100000000,1.0000000000,10/04/24,0442,T,100,6.1NRT,283.3200000000,23.6100000000,N
45.0352600000,-114.5159000000,314.7300000000,1.0100000000,1.0000000000,10/04/24,0442,T,90,6.1NRT,281.1100000000,16.8000000000,N
43.9040100000,-121.6595300000,301.9100000000,2.0600000000,1.4000000000,10/04/24,0442,T,34,6.1NRT,285.0000000000,20.5300000000,N
